Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/assessments,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0,0.7108548804749425,0.0,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000
,Aggregated,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0,0.7108548804749425,0.0,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000
